;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Referencia;Nombre;Categoría;Contenido paquete;Composición del material;Nombre de la marca;2022Año;Estación;Unidad de venta;Color;Talla;Stock;N° de piezas fuera de unidad de stock;Pedido;Reserva de proveedor (cantidad de artículos individuales);Preventa;Preventa (cantidad de artículos individuales);Código de barras;Peso (en gramos);Ubicación;Precio de compra;Proveedor;Precio A;Precio B;Precio C;Precio D;Precio Promoción;País de origen;Descuento (%);Observación;Cantidad de compras;Ventas;Importe de venta;Margen €;Precio medio de venta;Precio de compra del stock positivos;Valor de stock;Stock precio A;Fecha de creación
KU3206-1;;Sin categoría;;;;;VERANO;1;CAMEL;;10;0;0;0;0;0;2027290004774;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-05
KU3206-1;;Sin categoría;;;;;VERANO;1;VERDE;;10;0;0;0;0;0;2027290004775;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-05
KU3206-1;;Sin categoría;;;;;VERANO;1;BLANCO;;10;0;0;0;0;0;2027290005187;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-05
KU3206-1;;Sin categoría;;;;;VERANO;1;NEGRO;;10;0;0;0;0;0;2027290005233;0;;0;;10;10;10;0;0;;;;0;0;0;0;0;0;0;100;2026-06-05
KU644;;Sin categoría;;;;;VERANO;1;AMARILLO;;-2;0;0;0;0;0;2027290004766;0;;0;;16,5;16,5;16,5;0;0;;;;0;12;84;84;7;0;0;-33;2026-06-05
KU2143;;Sin categoría;;;;;VERANO;1;ROJO;;-11;0;0;0;0;0;2027290005162;0;;0;;10;10;10;0;0;;;;0;9;60;60;6,67;0;0;-110;2026-06-26
KU2143;;Sin categoría;;;;;VERANO;1;VERDE;;-10;0;0;0;0;0;2027290005163;0;;0;;10;10;10;0;0;;;;0;10;66;66;6,6;0;0;-100;2026-06-26
KU2143;;Sin categoría;;;;;VERANO;1;Azul Turquesa;;-11;0;0;0;0;0;2027290005164;0;;0;;10;10;10;0;0;;;;0;9;60;60;6,67;0;0;-110;2026-06-26
KU626;;Sin categoría;;;;;VERANO;1;VERDE;;8;0;0;0;0;0;2027290005152;0;;0;;10;10;10;0;0;;;;0;3;29;29;9,67;0;0;80;2026-06-26
KU626;;Sin categoría;;;;;VERANO;1;AZUL;;9;0;0;0;0;0;2027290005153;0;;0;;10;10;10;0;0;;;;0;2;19;19;9,5;0;0;90;2026-06-26
KU626;;Sin categoría;;;;;VERANO;1;CAMEL;;9;0;0;0;0;0;2027290005154;0;;0;;10;10;10;0;0;;;;0;2;19;19;9,5;0;0;90;2026-06-26
KU473;;Sin categoría;;;;;VERANO;1;ROSA;;-8;0;0;0;0;0;2027290005165;0;;0;;10;10;10;0;0;;;;0;8;68;68;8,5;0;0;-80;2026-06-26
KU473;;Sin categoría;;;;;VERANO;1;NARANJA;;-5;0;0;0;0;0;2027290005166;0;;0;;10;10;10;0;0;;;;0;5;38;38;7,6;0;0;-50;2026-06-26
